観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),今日の最大値(m/s),今日の最大値の品質情報,今日の最大値観測時の風向,今日の最大値観測時の風向の品質情報,今日の最大値起時（時）,今日の最大値起時（分）,今日の最大値起時の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(m/s),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値観測時の風向,昨日までの観測史上1位の値観測時の風向の品質情報,昨日までの観測史上1位の値観測時の年,昨日までの観測史上1位の値観測時の月,昨日までの観測史上1位の値観測時の日,昨日までの8月の1位の値(m/s),昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値観測時の風向,昨日までの8月の1位の値観測時の風向の品質情報,昨日までの8月の1位の値観測時の年,昨日までの8月の1位の値観測時の月,昨日までの8月の1位の値観測時の日,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2022,08,10,17,00,9.7,4,南西,4,16,52,4,,,32.2,8,西,8,2019,01,16,26,8,西南西,8,1981,08,23,1978
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2022,08,10,17,00,8.4,4,南西,4,15,21,4,,,27.0,8,北,8,1955,02,21,18.5,8,南,8,1960,08,31,1938
11046,北海道宗谷地方,礼文（レブン）,,2022,08,10,17,00,6.1,4,南西,4,14,24,4,,,20.1,8,南西,8,2015,10,02,16.4,8,東北東,8,2016,08,30,2003
11061,北海道宗谷地方,声問（コエトイ）,,2022,08,10,17,00,9.2,4,南南西,4,15,38,4,,,27.2,8,南西,8,2015,10,02,18.1,8,東,8,2016,08,31,2003
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2022,08,10,17,00,6.7,4,南西,4,15,44,4,,,24,8,北,8,2007,01,07,21,8,北東,8,1989,08,28,1978
11091,北海道宗谷地方,本泊（モトドマリ）,,2022,08,10,17,00,10.1,4,南西,4,13,59,4,,,32.6,8,南西,8,2015,10,02,17.6,8,南南西,8,2010,08,06,2003
11121,北海道宗谷地方,沼川（ヌマカワ）,,2022,08,10,17,00,5.3,4,南南西,4,14,44,4,,,19,8,南西,8,1995,11,08,11.5,8,東,8,2016,08,30,1977
11151,北海道宗谷地方,沓形（クツガタ）,,2022,08,10,17,00,5.6,4,南,4,12,42,4,,,23.4,8,南南西,8,2015,10,02,17,8,南南西,8,1979,08,19,1977
11176,北海道宗谷地方,豊富（トヨトミ）,,2022,08,10,17,00,5.1,4,南南西,4,13,25,4,,,21.0,8,西南西,8,2015,10,02,15.0,8,東,8,2016,08,30,1977
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2022,08,10,17,00,4.4,4,南西,4,11,56,4,,,17,8,西南西,8,1979,04,09,15,8,南西,8,1981,08,23,1977
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2022,08,10,17,00,6.0,4,西南西,4,12,53,4,,,15.3,8,南西,8,2010,03,13,14,8,南西,8,1981,08,23,1977
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2022,08,10,17,00,9.3,4,西南西,4,11,04,4,,,25.0,8,北東,8,1945,11,16,17.7,8,西南西,8,1972,08,13,1942
11316,北海道宗谷地方,歌登（ウタノボリ）,,2022,08,10,17,00,5.7,4,南西,4,12,45,4,,,19,8,南西,8,1990,06,10,11,8,西南西,8,1990,08,30,1977
12011,北海道上川地方,中川（ナカガワ）,,2022,08,10,17,00,7.3,4,南南西,4,11,34,4,,,20,8,南西,8,1984,01,15,18,8,南西,8,1981,08,23,1977
12041,北海道上川地方,音威子府（オトイネップ）,,2022,08,10,17,00,5.4,4,南南西,4,12,24,4,,,14,8,東北東,8,1979,03,31,11,4,///,4,1981,08,23,1977
12141,北海道上川地方,美深（ビフカ）,,2022,08,10,17,00,5.9,4,南西,4,11,39,4,,,14.1,8,南西,8,2015,10,02,10,8,南南西,8,1981,08,23,1977
12181,北海道上川地方,名寄（ナヨロ）,,2022,08,10,17,00,6.7,4,南南西,4,09,40,4,,,17,8,東,8,2006,03,29,12,8,南南西,8,1981,08,23,1976
12231,北海道上川地方,下川（シモカワ）,,2022,08,10,17,00,5.1,4,南西,4,11,25,4,,,16.0,8,南西,8,2010,03,21,13,8,南西,8,1981,08,23,1977
12261,北海道上川地方,士別（シベツ）,,2022,08,10,17,00,2.7,4,南南西,4,10,40,4,,,15,8,南,8,2004,09,08,9.6,8,北東,8,2016,08,30,1977
12266,北海道上川地方,朝日（アサヒ）,,2022,08,10,17,00,5.2,4,西南西,4,10,38,4,,,14.5,8,西南西,8,2017,11,11,12.1,8,西南西,8,2016,08,17,1977
12301,北海道上川地方,和寒（ワッサム）,,2022,08,10,17,00,5.4,4,南,4,11,33,4,,,14,8,南,8,2004,09,08,11.8,8,南南東,8,2020,08,07,1977
12386,北海道上川地方,江丹別（エタンベツ）,,2022,08,10,17,00,3.0,4,南西,4,15,49,4,,,16.3,8,西南西,8,2010,03,21,10,8,西,8,2004,08,31,1977
12396,北海道上川地方,比布（ピップ）,,2022,08,10,17,00,6.2,4,南,4,10,01,4,,,20,8,南,8,2004,09,08,14.0,8,南,8,2020,08,07,1977
12411,北海道上川地方,上川（カミカワ）,,2022,08,10,17,00,4.5,4,西南西,4,10,44,4,,,16.8,8,東北東,8,2017,09,18,13.5,8,東北東,8,2016,08,30,1977
12442,北海道上川地方,旭川（アサヒカワ）,47407,2022,08,10,17,00,6.5,4,南南西,4,13,10,4,,,24.6,8,西南西,8,2010,03,21,15.5,8,南,8,1970,08,16,1888
12451,北海道上川地方,東川（ヒガシカワ）,,2022,08,10,17,00,4.2,4,南,4,16,37,4,,,15,8,北北東,8,2008,02,23,13,8,南,8,1981,08,23,1977
