観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),今日の最高気温(℃),今日の最高気温の品質情報,今日の最高気温起時（時）,今日の最高気温起時（分）,今日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの8月の1位の値,昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値の起日（年）,昨日までの8月の1位の値の起日（月）,昨日までの8月の1位の値の起日（日）,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2022,08,10,17,00,27.1,4,13,28,4,+5.4,+2.3,88,0,,,1,26.0,4,2022,07,30,31.9,8,2000,08,01,31.9,8,2000,08,01,1978
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2022,08,10,17,00,25.4,4,11,49,4,+3.0,-0.4,88,0,,,0,28.3,4,2022,07,10,32.7,8,2021,07,29,31.6,8,2021,08,07,1938
11046,北海道宗谷地方,礼文（レブン）,,2022,08,10,17,00,25.5,4,10,57,4,+2.6,+0.8,88,0,,,0,30.5,4,2022,07,31,30.5,8,2022,07,31,30.5,8,2021,08,07,2003
11061,北海道宗谷地方,声問（コエトイ）,,2022,08,10,17,00,27.4,4,13,22,4,+3.7,+0.7,88,0,,,0,28.3,4,2022,07,10,33.3,8,2021,07,29,32.1,8,2021,08,07,2003
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2022,08,10,17,00,27.6,4,13,00,4,+5.8,+0.9,88,0,,,1,27.4,4,2022,07,31,32.7,8,2000,07,31,32.4,8,2000,08,01,1978
11091,北海道宗谷地方,本泊（モトドマリ）,,2022,08,10,17,00,26.5,4,13,19,4,+2.9,+0.4,88,0,,,0,28.0,4,2022,07,31,31.8,8,2021,08,07,31.8,8,2021,08,07,2003
11121,北海道宗谷地方,沼川（ヌマカワ）,,2022,08,10,17,00,26.4,4,13,08,4,+3.1,-0.1,88,0,,,0,28.6,4,2022,07,09,32.4,8,2021,07,29,31.9,8,2021,08,07,1977
11151,北海道宗谷地方,沓形（クツガタ）,,2022,08,10,17,00,25.5,4,15,57,4,+2.2,+0.5,88,0,,,0,29.3,4,2022,07,09,32.5,8,1989,08,07,32.5,8,1989,08,07,1977
11176,北海道宗谷地方,豊富（トヨトミ）,,2022,08,10,17,00,26.6,4,12,51,4,+2.8,+1.0,88,0,,,0,29.8,4,2022,07,10,33.1,8,2000,08,01,33.1,8,2000,08,01,1977
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2022,08,10,17,00,27.5,4,13,02,4,+4.5,+1.3,88,0,,,0,28.0,4,2022,07,30,33.6,4,1989,07,27,33.4,8,2000,08,01,1977
